Date,Stock H
1/11/2021,107.9272
2/11/2021,113.94201
3/11/2021,114.13604
4/11/2021,114.13604
5/11/2021,115.15468
8/11/2021,114.47559
9/11/2021,114.23305
10/11/2021,115.34871
11/11/2021,114.66961
12/11/2021,114.71812
15/11/2021,115.68825
16/11/2021,115.88228
17/11/2021,116.70689
18/11/2021,118.79268
19/11/2021,118.84118
22/11/2021,118.84118
23/11/2021,118.9382
24/11/2021,118.55014
25/11/2021,119.08372
26/11/2021,119.18073
29/11/2021,119.08372
30/11/2021,119.76281
1/12/2021,119.66579
2/12/2021,120.24787
3/12/2021,119.22923
6/12/2021,120.92697
7/12/2021,120.87846
8/12/2021,122.6247
9/12/2021,122.86723
10/12/2021,122.77022
13/12/2021,124.27392
14/12/2021,126.74776
15/12/2021,123.93438
16/12/2021,125.97165
17/12/2021,127.37834
20/12/2021,127.57237
21/12/2021,126.55373
22/12/2021,126.50523
23/12/2021,126.94179
24/12/2021,127.18432
29/12/2021,129.70666
30/12/2021,131.50141
31/12/2021,129.25769
4/01/2022,130.52588
5/01/2022,126.03844
6/01/2022,118.47808
7/01/2022,120.38037
10/01/2022,118.33175
11/01/2022,115.84415
12/01/2022,115.64905
13/01/2022,115.35639
14/01/2022,113.16145
17/01/2022,111.89326
18/01/2022,112.18592
19/01/2022,111.79571
20/01/2022,111.45427
21/01/2022,110.38119
24/01/2022,114.28331
25/01/2022,111.6006
27/01/2022,107.4546
28/01/2022,111.84448
31/01/2022,113.11267
1/02/2022,114.9174
2/02/2022,115.79538
3/02/2022,115.7466
4/02/2022,115.79538
7/02/2022,113.60044
8/02/2022,113.74677
9/02/2022,115.11251
10/02/2022,115.7466
11/02/2022,111.21039
14/02/2022,111.30794
15/02/2022,113.50288
16/02/2022,117.06357
17/02/2022,116.96601
18/02/2022,112.47858
21/02/2022,111.01528
22/02/2022,108.4789
23/02/2022,108.67401
24/02/2022,105.74742
25/02/2022,108.33258
28/02/2022,108.43013
1/03/2022,108.62523
2/03/2022,108.62523
3/03/2022,108.23502
4/03/2022,106.08886
7/03/2022,104.28413
8/03/2022,104.08902
9/03/2022,105.1621
10/03/2022,107.99114
11/03/2022,104.86944
14/03/2022,106.67417
15/03/2022,106.6254
16/03/2022,108.13747
17/03/2022,108.96667
18/03/2022,109.69832
21/03/2022,110.08853
22/03/2022,109.16178
23/03/2022,110.52752
24/03/2022,110.86895
25/03/2022,111.21039
28/03/2022,107.94236
29/03/2022,109.74709
30/03/2022,112.47858
31/03/2022,111.64938
1/04/2022,111.55182
4/04/2022,111.79571
5/04/2022,112.52735
6/04/2022,110.57629
7/04/2022,112.52735
8/04/2022,112.77124
11/04/2022,113.06389
12/04/2022,111.6006
13/04/2022,110.33241
14/04/2022,110.52752
19/04/2022,110.03975
20/04/2022,111.74693
21/04/2022,113.99065
22/04/2022,115.21006
26/04/2022,114.72229
27/04/2022,115.25884
28/04/2022,114.57597
29/04/2022,116.96601
2/05/2022,108.57646
