,Date,A - B,A - C,A - D,A - E,A - F,A - G,A - H,B - C,B - D,B - E,B - F,B - G,B - H,C - D,C - E,C - F,C - G,C - H,D - E,D - F,D - G,D - H,E - F,E - G,E - H,F - G,F - H,G - H
30,14/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,15/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,19/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,20/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011775039156804994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,21/01/2021,0.0018162950129972256,0.0,0.0,0.0,0.0,0.0,0.004143039553555356,0.0,0.0015915717069875004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005452804536196135,0.0,0.0,0.0,0.005238520332417628,0.0,0.0,0.006794545986442686,0.0,0.0,0.0
35,22/01/2021,0.0028109050287420823,0.0,0.0,0.0,0.010618558198469172,0.0009498711350081256,0.003257353521130998,0.0,0.0015915717069875004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005452804536196135,0.0,0.008311138149788148,-0.0021318289951517745,0.005238520332417628,0.0,0.0,0.006794545986442686,0.0,0.0,0.0
36,25/01/2021,0.002058883851973192,0.0,0.0,0.0,0.010618558198469172,-0.00255915394083334,0.003257353521130998,0.0,0.0015915717069875004,0.0,0.0,0.0,0.0,0.0,-0.006454905358925017,0.0,0.0,0.005452804536196135,0.0,0.008311138149788148,-0.009842404274242562,0.005238520332417628,0.0,0.0,0.006794545986442686,0.0,0.0,0.0
37,26/01/2021,-0.001181199977816354,0.0,0.0,-0.004432749305509514,0.010618558198469172,-0.008650054928935207,0.003257353521130998,0.0,-0.006824991148228856,0.0,0.0,0.0,0.0,0.0,-0.00869368003776372,0.0,-0.004049291875459051,0.005452804536196135,-0.01010125619591603,0.008311138149788148,-0.02145643433065601,0.005238520332417628,0.0,0.0,0.006794545986442686,0.0,0.0,0.0
38,27/01/2021,-0.0025107082793015397,0.0,0.0,-0.0036992514573479652,0.010618558198469172,-0.01350314744031225,0.003257353521130998,0.0,-0.008745228481178714,0.0,0.0,0.0,0.0,0.0,-0.004718967405281584,0.0,-0.006024965256894128,0.005452804536196135,-0.009909623982204963,0.008311138149788148,-0.027090705744405242,0.012160830473601232,0.0,0.0,0.006794545986442686,0.0,0.0,0.0
39,28/01/2021,0.005635317637849521,0.0,0.0,-0.0036992514573479652,0.010618558198469172,-0.005253620290816583,0.003257353521130998,0.0,-0.009018955994272299,0.0,0.0,0.0,0.0,-0.007139422206691834,-0.004718967405281584,0.0,0.0005225173943559109,0.005452804536196135,-0.015353183986430957,0.008311138149788148,-0.02765514072070771,0.012160830473601232,0.0,0.0,0.006794545986442686,0.0,0.0,0.0
