Date,Stock E
3/11/2021,108.2878
4/11/2021,108.3422
5/11/2021,108.3785
8/11/2021,109.1584
9/11/2021,109.3761
10/11/2021,109.9928
11/11/2021,109.8114
12/11/2021,109.757
15/11/2021,110.6821
16/11/2021,110.5551
17/11/2021,111.0267
18/11/2021,111.0811
19/11/2021,111.0086
22/11/2021,110.4826
23/11/2021,111.0449
24/11/2021,111.5527
26/11/2021,108.9771
29/11/2021,110.7365
30/11/2021,109.5756
1/12/2021,110.537
2/12/2021,112.5685
3/12/2021,113.2034
6/12/2021,113.548
7/12/2021,114.4186
8/12/2021,115.7428
9/12/2021,113.8745
10/12/2021,115.0172
13/12/2021,115.7972
14/12/2021,114.4731
15/12/2021,115.6702
16/12/2021,116.4683
17/12/2021,115.0898
20/12/2021,115.507
21/12/2021,115.4888
22/12/2021,116.0149
23/12/2021,116.1055
27/12/2021,118.1371
28/12/2021,118.9352
29/12/2021,120.5858
30/12/2021,120.2412
31/12/2021,120.569
3/01/2022,118.4017
4/01/2022,115.9794
5/01/2022,114.1763
6/01/2022,113.5753
7/01/2022,111.9543
10/01/2022,112.3368
11/01/2022,112.7739
12/01/2022,113.1564
13/01/2022,113.1017
14/01/2022,113.6663
18/01/2022,112.6282
19/01/2022,111.8815
20/01/2022,110.3152
21/01/2022,109.8781
24/01/2022,108.8399
25/01/2022,108.931
26/01/2022,108.2753
27/01/2022,107.4557
28/01/2022,110.4244
31/01/2022,110.6976
1/02/2022,109.8781
2/02/2022,111.6083
3/02/2022,111.1347
4/02/2022,109.787
7/02/2022,108.8217
8/02/2022,108.3664
9/02/2022,110.6794
10/02/2022,107.7107
11/02/2022,107.1097
14/02/2022,106.2901
15/02/2022,106.0169
16/02/2022,105.5798
17/02/2022,104.7785
18/02/2022,104.1592
22/02/2022,104.7238
23/02/2022,102.5565
24/02/2022,103.7221
25/02/2022,106.5815
28/02/2022,104.8695
1/03/2022,104.4688
2/03/2022,105.6345
3/03/2022,107.0369
4/03/2022,107.7654
7/03/2022,105.7802
8/03/2022,104.9424
9/03/2022,106.1991
10/03/2022,106.6726
11/03/2022,105.1427
14/03/2022,105.2884
15/03/2022,106.2537
16/03/2022,107.31
17/03/2022,108.8763
18/03/2022,109.8052
21/03/2022,109.4592
22/03/2022,109.1313
23/03/2022,108.0021
24/03/2022,108.5121
25/03/2022,109.6595
28/03/2022,111.0983
29/03/2022,114.8684
30/03/2022,114.5861
31/03/2022,113.2869
1/04/2022,116.0866
4/04/2022,114.1652
5/04/2022,114.1652
6/04/2022,115.5925
7/04/2022,115.7023
8/04/2022,114.9337
11/04/2022,112.8477
12/04/2022,112.8843
13/04/2022,113.9273
14/04/2022,112.683
18/04/2022,112.7013
19/04/2022,116.3427
20/04/2022,119.5267
21/04/2022,117.1479
22/04/2022,116.8917
25/04/2022,116.5989
26/04/2022,114.4214
27/04/2022,115.6474
28/04/2022,116.4708
29/04/2022,106.1321
2/05/2022,102.7835
3/05/2022,102.4541
4/05/2022,102.0332
5/05/2022,98.1356
6/05/2022,96.06785
9/05/2022,92.57281
10/05/2022,93.74392
11/05/2022,95.22611
12/05/2022,95.11632
13/05/2022,97.64153
16/05/2022,97.49514
17/05/2022,97.51344
18/05/2022,93.43285
19/05/2022,93.87201
20/05/2022,94.87844
23/05/2022,94.86014
24/05/2022,94.87844
25/05/2022,95.07972
26/05/2022,95.77507
27/05/2022,98.24539
31/05/2022,97.25726
1/06/2022,96.67171
2/06/2022,98.48327
3/06/2022,96.61681
6/06/2022,95.3359
7/06/2022,96.7998
8/06/2022,93.98181
9/06/2022,92.57281
10/06/2022,90.74295
13/06/2022,86.51596
14/06/2022,85.82061
15/06/2022,87.2845
16/06/2022,85.39974
17/06/2022,84.41162
21/06/2022,84.97888
22/06/2022,85.14356
23/06/2022,86.84534
24/06/2022,89.79142
27/06/2022,89.20586
28/06/2022,88.10794
29/06/2022,87.86091
30/06/2022,87.41903
1/07/2022,89.27862
5/07/2022,88.92879
6/07/2022,89.5732
7/07/2022,89.16815
8/07/2022,88.85515
11/07/2022,88.43168
12/07/2022,88.28438
13/07/2022,87.63997
14/07/2022,85.6515
15/07/2022,86.62732
18/07/2022,86.33274
19/07/2022,88.87356
20/07/2022,88.91038
21/07/2022,90.12556
22/07/2022,91.08297
25/07/2022,91.96673
26/07/2022,92.68479
27/07/2022,92.27973
28/07/2022,94.63644
29/07/2022,95.64908
1/08/2022,95.59385
2/08/2022,95.53861
3/08/2022,96.75379
4/08/2022,96.7722
5/08/2022,97.60073
8/08/2022,98.06103
9/08/2022,98.90797
10/08/2022,99.79173
11/08/2022,99.5892
12/08/2022,101.7802
15/08/2022,102.4062
16/08/2022,102.3694
17/08/2022,102.351
18/08/2022,101.5224
19/08/2022,100.6203
22/08/2022,98.07944
23/08/2022,96.09097
24/08/2022,96.53285
25/08/2022,97.63755
26/08/2022,95.5202
29/08/2022,95.02309
30/08/2022,93.40285
31/08/2022,93.31079
1/09/2022,93.29238
2/09/2022,91.87467
6/09/2022,93.91838
7/09/2022,96.1462
8/09/2022,96.80903
9/09/2022,97.63755
